name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,max_power (in bph),Mileage Unit,Mileage,Engine (CC)
5,2005,90000,99361,3,1,1,2,5,46.3,1,19.7,796
7,2018,645000,10000,3,1,0,0,5,84.0,1,20.3,1199
5,2017,409999,47000,3,1,1,0,5,67.04,1,20.51,998
3,2018,1210000,25000,1,1,1,0,5,88.7,1,21.38,1396
5,2016,650000,50000,3,1,0,0,5,83.1,1,21.4,1197
5,2014,400000,50000,3,1,1,0,5,81.8,1,20.4,1197
5,2017,351000,36000,3,1,1,0,5,67.04,1,23.1,998
5,2011,185000,185000,1,1,1,4,5,73.9,1,21.1,1248
5,2005,85000,80000,3,1,1,1,5,46.3,1,19.7,796
5,2013,480000,110000,1,1,1,4,7,88.76,1,20.77,1248
1,2010,170000,90000,1,1,1,2,5,68.0,1,20.0,1399
5,2018,610000,52000,3,0,1,0,5,81.8,1,22.0,1197
6,2018,390000,13000,3,0,1,0,5,53.26,1,20.71,799
8,2013,400000,70000,1,0,1,2,5,67.06,1,23.59,1364
3,2009,215000,60000,3,0,1,0,5,78.9,1,20.36,1197
6,2014,570000,40000,1,0,1,0,5,83.8,1,20.45,1461
3,2010,140000,70000,3,1,1,1,5,78.9,1,20.36,1197
5,2013,225000,58343,3,2,1,0,5,67.05,1,21.79,998
5,2019,650000,5621,3,2,0,0,5,81.8,1,22.0,1197
5,2018,600000,69779,3,0,0,0,5,81.8,1,22.0,1197
3,2010,150000,106000,3,1,1,4,5,78.9,1,20.36,1197
3,2014,535000,70000,1,1,1,4,5,126.32,1,22.32,1582
5,2012,300000,100000,1,1,1,2,5,88.8,1,21.5,1248
5,2016,240000,50000,3,1,1,0,5,47.3,1,22.74,796
5,2020,409999,35000,0,1,1,0,5,61.7,0,20.88,1196
5,2010,150000,80000,3,1,1,0,5,67.1,1,20.92,998
3,2013,219000,50000,3,1,1,2,5,55.2,1,21.1,814
3,2017,950000,45000,1,1,1,0,5,88.7,1,21.38,1396
5,2010,160000,80000,3,1,1,2,5,46.3,1,19.7,796
8,2013,450000,67000,1,1,1,0,5,67.1,1,23.59,1364
5,2013,530000,120000,1,1,1,2,5,74.0,1,23.4,1248
9,2015,520000,110000,1,1,1,2,5,88.8,1,20.14,1498
4,2011,229999,170000,1,1,1,2,5,64.1,1,21.0,1461
5,2014,320000,50000,3,1,1,0,5,67.04,1,23.1,998
1,2015,292000,70000,1,1,1,0,5,68.05,1,20.0,1399
5,2014,385000,25000,3,1,1,0,5,67.04,1,23.1,998
5,2019,675000,10000,3,1,1,0,5,81.8,1,21.21,1197
1,2018,950000,30000,1,1,1,0,5,98.96,1,23.0,1498
3,2015,610000,50000,1,1,1,2,5,88.73,1,21.19,1396
3,2012,525000,120000,1,1,1,0,5,88.73,1,22.54,1396
5,2015,434999,50000,3,1,1,2,5,83.11,1,20.4,1197
6,2018,1050000,18000,1,0,1,0,5,108.45,1,19.6,1461
1,2013,300000,60000,1,1,1,2,5,90.0,1,23.5,1498
3,2008,229999,50000,3,1,1,0,5,68.05,1,19.81,1086
3,2018,500000,60000,3,1,1,0,5,81.86,1,20.14,1197
5,2014,250000,25000,3,1,1,0,5,47.3,1,22.74,796
9,2011,250000,70000,1,1,1,2,5,103.6,1,20.54,1598
8,2013,409999,45000,1,1,1,0,5,67.06,1,23.59,1364
5,2016,270000,50000,3,1,1,0,5,47.3,1,22.74,796
5,2011,165000,90000,3,1,1,0,5,67.1,1,20.92,998
3,2013,180000,60000,3,1,1,0,5,55.2,1,21.1,814
5,2009,125000,60000,3,1,1,4,5,46.3,1,19.7,796
9,2012,450000,90000,1,1,1,0,5,103.6,1,20.54,1598
5,2011,210000,46000,3,1,1,0,5,67.1,1,20.92,998
3,2017,320000,15000,3,1,1,2,5,55.2,1,21.1,814
5,2009,130000,70000,3,1,1,2,5,46.3,1,19.7,796
1,2013,200000,70000,1,1,1,2,5,67.0,1,19.68,1399
5,2002,140000,50000,3,1,1,2,5,46.3,1,19.7,796
5,2015,236000,60000,3,1,1,0,5,47.3,1,22.74,796
5,2015,390000,40000,3,1,1,0,5,67.04,1,20.51,998
3,2016,850000,58000,1,1,1,0,5,126.2,1,19.67,1582
3,2017,300000,10000,3,1,1,0,5,55.2,1,21.1,814
3,2019,466000,25000,3,1,0,1,5,68.0,1,20.3,1086
1,2014,484999,54000,1,0,1,0,5,98.96,1,23.0,1498
3,2011,220000,120000,1,1,1,2,5,90.0,1,23.0,1396
5,2013,630000,120000,1,1,1,2,7,88.8,1,20.77,1248
3,2013,525000,75000,1,1,0,0,5,126.3,1,22.32,1582
1,2013,245000,70000,1,1,1,2,5,68.1,1,20.0,1399
3,2012,210000,76000,3,1,1,1,5,78.9,1,20.36,1197
5,2020,730000,1500,3,1,1,0,5,81.8,1,21.21,1197
5,2015,400000,40000,3,1,1,0,5,67.04,1,20.51,998
3,2015,280000,60000,3,1,1,2,5,55.2,1,21.1,814
9,2017,700000,40906,1,0,1,0,5,108.62,1,21.66,1498
3,2012,270000,43755,3,0,1,2,5,55.2,1,21.1,814
3,2011,400000,221889,1,0,1,0,5,126.32,1,22.32,1582
5,2015,500000,150546,3,0,1,0,5,81.8,1,22.0,1197
3,2011,200000,80000,3,1,1,0,5,68.05,1,19.81,1086
6,2016,350000,25000,3,1,1,0,5,67.0,1,23.01,999
5,2013,200000,24000,3,1,1,0,5,47.3,1,22.74,796
1,2012,300000,70000,1,1,1,2,5,68.0,1,20.0,1399
3,2008,135000,80000,3,1,1,2,5,68.05,1,19.81,1086
5,2011,300000,70000,1,1,1,2,5,74.0,1,22.9,1248
5,2014,420000,80000,1,1,1,0,5,74.0,1,23.4,1248
3,2015,235000,50000,3,1,1,0,5,55.2,1,21.1,814
1,2016,650000,125000,1,1,1,0,5,98.59,1,22.77,1498
5,2016,350000,80000,3,1,1,0,5,67.04,1,20.51,998
3,2010,270000,90000,1,1,1,4,5,90.0,1,23.0,1396
7,2017,450000,50000,1,1,1,0,5,74.0,1,22.95,1248
3,2008,275000,98000,3,1,1,4,5,78.9,1,20.36,1197
5,2012,215000,90000,3,1,1,4,5,46.3,1,19.7,796
5,2019,655000,25000,3,1,1,0,5,81.8,1,21.21,1197
1,2019,800000,30000,1,1,1,4,5,98.96,1,23.0,1498
9,2011,300000,72000,1,1,1,2,5,103.6,1,20.54,1598
5,2015,320000,50000,3,1,1,2,5,67.04,1,20.51,998
3,2010,210000,20000,3,1,1,0,5,68.05,1,19.81,1086
6,2016,300000,50000,3,1,1,0,5,67.0,1,23.01,999
3,2015,290000,17000,3,1,1,0,5,55.2,1,21.1,814
5,2016,395000,50000,3,1,1,0,5,67.04,1,23.1,998
3,2014,195000,65000,3,1,1,2,5,55.2,1,21.1,814
3,2015,715000,50000,1,1,1,0,5,88.73,1,22.54,1396
3,2012,335000,135000,1,1,1,0,5,88.76,1,21.9,1396
5,2014,300000,35000,3,1,1,0,5,67.04,1,23.1,998
7,2013,280000,80000,1,1,1,0,5,88.76,1,21.02,1248
3,2018,500000,10000,3,1,1,0,5,81.86,1,20.14,1197
6,2017,300000,35000,3,1,1,0,5,67.0,1,23.01,999
9,2014,350000,60000,1,1,1,2,5,88.8,1,20.14,1498
5,2015,450000,30000,3,1,1,0,5,81.8,1,20.4,1197
3,2011,180000,80000,3,1,1,2,5,55.2,1,21.1,814
3,2013,200000,80000,3,1,1,2,5,55.2,1,21.1,814
5,2005,85000,150000,3,1,1,2,5,46.3,1,19.7,796
9,2010,275000,80000,1,1,1,1,5,73.9,1,22.07,1199
3,2012,321000,100000,1,1,1,2,5,90.0,1,23.0,1396
7,2012,250000,40000,1,1,1,0,5,74.0,1,22.3,1248
5,2010,165000,30000,3,1,1,4,5,46.3,1,19.7,796
5,2013,430000,86000,1,1,1,2,5,74.0,1,22.9,1248
6,2018,400000,60000,3,1,1,0,5,67.0,1,23.01,999
5,2015,430000,5000,3,1,1,0,5,67.04,1,20.51,998
5,2017,573000,30000,3,1,1,0,5,81.8,1,20.4,1197
3,2015,210000,40000,3,1,1,0,5,55.2,1,21.1,814
7,2019,550000,15000,3,1,1,0,5,84.0,1,20.3,1199
5,2008,95000,120000,3,1,1,0,5,46.3,1,19.7,796
5,2009,101000,90000,3,1,1,1,8,35.0,1,19.7,796
3,2012,244000,38000,3,1,1,0,5,55.2,1,21.1,814
5,2013,250000,90000,3,1,1,2,5,67.04,1,20.51,998
5,2016,660000,60000,3,1,1,0,5,83.1,1,21.4,1197
5,2012,280000,156060,1,1,1,0,5,73.94,1,23.2,1248
3,2017,1050000,60000,1,1,1,0,5,126.2,1,19.67,1582
5,2017,525000,70000,3,1,1,0,5,83.14,1,20.85,1197
5,2015,241000,15000,3,1,1,0,5,47.3,1,22.74,796
5,2015,235000,20000,3,1,1,0,5,47.3,1,22.74,796
1,2015,615000,80000,1,1,1,0,5,98.59,1,22.77,1498
4,2014,350000,110000,1,1,1,2,5,64.1,1,20.8,1461
5,2014,350000,35000,3,1,1,0,5,67.04,1,20.51,998
5,2014,380000,35000,3,1,1,0,5,67.04,1,20.51,998
3,2015,360000,20000,3,1,1,0,5,68.05,1,19.81,1086
3,2016,425000,15000,3,1,1,0,5,68.05,1,19.81,1086
5,2009,120000,58000,3,1,1,0,5,46.3,1,19.7,796
3,2015,204999,43000,3,1,1,2,5,68.05,1,20.3,998
5,2013,600000,60000,1,1,1,0,7,88.8,1,20.77,1248
3,2011,300000,80000,1,1,1,0,5,126.32,1,22.32,1582
5,2015,750000,14000,1,1,1,0,7,88.76,1,20.77,1248
3,2011,160000,57000,3,1,1,0,5,55.2,1,21.1,814
8,2015,1050000,60000,1,1,1,0,5,87.2,1,21.43,1364
7,2010,150000,120000,1,1,1,2,5,88.8,1,21.12,1248
5,2015,350000,25000,3,1,1,0,5,67.04,1,23.1,998
6,2019,580000,12000,3,1,1,0,7,72.0,1,20.0,999
1,2010,180000,110000,1,1,1,2,5,68.0,1,20.0,1399
3,2010,270000,100000,1,1,1,1,5,90.0,1,21.9,1396
1,2011,190000,90000,1,1,1,2,5,68.0,1,20.0,1399
8,2013,409999,90000,1,1,1,0,5,67.04,1,23.59,1364
3,2015,270000,43000,3,1,1,0,5,55.2,1,21.1,814
7,2017,280000,80000,1,1,1,0,5,74.0,1,22.95,1248
7,2012,130000,60000,1,1,1,0,5,74.0,1,22.3,1248
3,2014,260000,18945,3,1,1,0,5,55.2,1,21.1,814
3,2012,320000,107825,1,1,1,2,5,90.0,1,21.9,1396
5,2020,370000,15000,3,1,1,0,5,47.3,1,22.05,796
3,2018,750000,30000,1,1,1,0,5,88.76,1,21.19,1396
3,2019,450000,10000,3,1,1,0,5,68.0,1,20.3,1086
5,2012,400000,100000,1,1,1,4,7,88.76,1,20.77,1248
5,2013,199000,60000,3,1,1,2,5,67.1,1,20.2,998
3,2016,540000,80000,1,1,1,4,5,88.73,1,21.19,1396
5,2011,250000,85000,1,1,1,2,5,88.8,1,21.5,1248
3,2012,450000,120000,1,1,1,2,5,126.32,1,22.32,1582
3,2019,1000000,15000,1,1,1,0,5,88.7,1,22.1,1396
5,2012,415000,108000,1,1,1,0,5,74.0,1,23.4,1248
1,2011,175000,90400,1,1,1,0,5,68.0,1,20.0,1399
5,2003,85000,120000,1,1,1,4,5,58.0,1,20.8,1527
5,2019,675000,5000,3,1,1,0,5,81.8,1,21.21,1197
6,2016,535000,50000,1,1,1,0,5,83.8,1,19.87,1461
6,2019,675000,5000,3,1,1,0,7,72.0,1,20.0,999
5,2012,425000,96000,1,1,1,2,7,88.8,1,20.77,1248
3,2017,850000,63186,1,1,1,0,5,88.73,1,22.54,1396
5,2019,675000,5000,3,1,0,0,5,83.1,1,21.4,1197
5,2010,150000,91500,3,1,1,0,5,46.3,1,19.7,796
9,2012,350000,40000,1,1,1,0,5,103.6,1,20.54,1598
5,2012,300000,70000,1,1,1,0,5,73.94,1,23.2,1248
3,2013,700000,120000,1,1,1,0,5,126.24,1,22.7,1582
0,2013,300000,65000,1,1,1,0,5,76.9,1,22.1,1248
3,2015,650000,100000,1,1,1,0,5,88.73,1,22.54,1396
3,2015,650000,80000,1,1,1,0,5,88.73,1,22.54,1396
9,2013,350000,80000,1,1,1,4,5,73.9,1,22.07,1199
5,2013,240000,60000,3,1,1,0,5,67.1,1,20.92,998
5,2014,550000,50000,1,1,1,2,7,88.76,1,20.77,1248
5,2013,350000,40000,3,1,1,0,5,67.04,1,20.51,998
1,2012,425000,81632,1,0,1,0,5,68.0,1,20.0,1399
1,2014,750000,101504,1,0,1,0,5,89.84,1,22.7,1498
1,2013,600000,125531,1,0,1,2,5,98.59,1,22.77,1498
7,2018,950000,40000,1,1,0,0,5,108.5,1,21.5,1497
5,2013,409999,100000,1,1,1,4,5,73.94,1,23.2,1248
5,2000,108000,206000,3,1,1,1,5,46.3,1,19.7,796
5,2017,425000,40000,3,1,1,2,5,67.04,1,23.1,998
3,2013,310000,70000,3,1,1,0,5,68.05,1,19.81,1086
3,2017,1125000,105000,1,1,1,0,5,88.7,1,21.38,1396
9,2011,388000,80000,1,1,1,2,5,73.9,1,22.07,1199
5,2009,120000,90000,3,1,1,0,5,46.3,1,19.7,796
5,2015,270000,53000,3,1,1,2,5,47.3,1,22.74,796
5,2019,600000,10000,3,1,0,0,5,81.8,1,21.21,1197
5,2013,215000,25000,3,1,1,0,5,67.1,1,20.92,998
3,2015,750000,74000,1,1,1,0,5,126.2,1,19.67,1582
5,2018,795000,41779,3,0,1,0,5,81.8,1,21.21,1197
5,2018,750000,15000,3,0,1,0,5,81.8,1,22.0,1197
3,2017,1150000,63309,1,0,1,0,5,126.2,1,19.67,1582
5,2016,400000,35000,3,1,0,0,5,67.04,1,23.1,998
0,2015,480000,80000,1,1,1,2,5,74.0,1,22.1,1248
5,2005,90000,40000,3,1,1,2,5,46.3,1,19.7,796
5,2005,80000,40000,3,1,1,2,5,46.3,1,19.7,796
5,2015,350000,90000,1,1,1,0,5,73.94,1,23.2,1248
4,2012,350000,25000,1,1,1,0,5,65.0,1,21.03,1461
5,2016,340000,40000,3,1,1,0,5,67.04,1,20.51,998
3,2014,300000,65000,3,1,1,0,5,78.9,1,20.36,1197
5,2014,204999,15000,3,1,1,2,5,47.3,1,22.74,796
4,2012,254999,70000,1,1,1,2,5,65.0,1,20.8,1461
3,2017,280000,50000,3,1,1,2,5,55.2,1,21.1,814
3,2011,225000,80000,3,1,1,2,5,68.05,1,19.81,1086
4,2012,260000,70000,1,1,1,2,5,65.0,1,21.03,1461
1,2012,280000,60000,1,1,1,0,5,68.0,1,20.0,1399
4,2014,350000,106000,1,1,1,2,5,65.0,1,20.8,1461
5,2013,250000,27000,3,1,1,0,5,67.1,1,20.92,998
5,2007,95000,70000,3,1,1,2,5,46.3,1,19.7,796
5,2017,610000,15000,3,1,1,0,5,81.8,1,22.0,1197
5,2015,511000,30000,3,1,1,0,5,83.14,1,20.85,1197
6,2013,434999,120000,1,1,1,0,5,84.8,1,21.64,1461
1,2010,210000,100000,1,1,1,2,5,68.0,1,20.0,1399
6,2017,290000,50000,3,1,1,0,5,67.0,1,23.01,999
5,2006,100000,40000,3,1,1,0,5,46.3,1,19.7,796
5,2019,450000,10000,0,1,1,0,5,61.7,0,21.94,1196
5,2014,351000,89100,1,1,1,2,5,73.94,1,23.2,1248
3,2015,225000,120000,3,1,1,2,5,55.2,1,21.1,814
5,2011,140000,50000,3,1,1,4,5,67.1,1,20.92,998
5,2017,370000,140000,0,1,1,0,5,61.7,0,21.94,1196
3,2015,500000,126000,1,1,1,0,5,88.73,1,21.19,1396
3,2019,570000,15000,3,1,1,0,5,81.86,1,20.14,1197
5,2009,120000,120000,3,1,1,0,5,46.3,1,19.7,796
5,2011,280000,210000,1,1,1,0,5,74.0,1,22.9,1248
5,2009,180000,85000,1,1,1,4,5,73.9,1,21.1,1248
3,2009,340000,40000,1,1,1,0,5,90.0,1,23.0,1396
5,2017,400000,65000,3,1,1,2,5,67.04,1,20.51,998
5,2005,95000,70000,3,1,1,4,5,46.3,1,19.7,796
6,2017,880000,65000,1,1,1,0,8,108.5,1,19.98,1461
5,2019,480000,25000,3,1,1,0,5,81.8,1,20.52,1197
2,2016,850000,72113,1,1,1,0,7,98.6,1,21.9,1498
7,2012,300000,40000,1,1,1,0,5,70.0,1,23.57,1396
5,2010,220000,20000,3,1,1,0,5,85.8,1,21.1,1197
5,2014,450000,80000,1,1,1,0,5,74.0,1,23.4,1248
3,2018,800000,30000,1,1,1,0,5,88.76,1,21.19,1396
9,2011,375000,69000,1,1,1,2,5,103.6,1,20.54,1598
5,2004,60000,113000,3,1,1,2,5,46.3,1,19.7,796
6,2012,300000,100000,1,1,1,4,5,63.12,1,23.08,1461
7,2012,150000,110000,1,1,1,0,5,74.0,1,22.3,1248
1,2015,600000,90000,1,1,1,0,5,98.59,1,22.77,1498
1,2011,204999,100000,1,1,1,2,5,68.0,1,20.0,1399
5,2019,610000,10000,3,1,0,0,5,81.8,1,21.21,1197
5,2014,509999,110000,1,1,1,0,5,74.0,1,23.4,1248
5,2014,511000,100000,1,1,1,0,5,74.0,1,23.4,1248
3,2014,451000,91000,1,1,1,0,5,88.73,1,22.54,1396
3,2009,170000,100000,3,1,1,0,5,78.9,1,20.36,1197
5,2013,450000,120000,1,1,1,2,5,74.0,1,23.4,1248
5,2016,305000,60000,3,1,1,2,5,47.3,1,22.74,796
0,2016,250000,60000,1,1,1,2,5,74.0,1,22.1,1248
1,2012,200000,104500,1,1,1,2,5,68.0,1,20.0,1399
5,2014,509999,100000,1,1,1,2,5,74.0,1,22.9,1248
5,2014,235000,50000,3,1,1,0,5,47.3,1,22.74,796
5,2019,585000,10000,3,1,1,0,5,81.8,1,21.21,1197
4,2018,500000,10000,1,1,1,0,8,45.0,1,23.5,909
5,2019,450000,60000,0,1,1,0,5,61.7,0,21.94,1196
3,2013,325000,70000,1,1,1,4,5,88.76,1,21.9,1396
9,2011,260000,120000,1,1,1,4,5,103.6,1,20.54,1598
5,2009,130000,80000,3,1,1,4,5,46.3,1,19.7,796
3,2014,275000,53000,3,1,1,0,5,78.9,1,20.36,1197
9,2013,330000,100000,1,1,1,4,5,103.6,1,20.54,1598
5,2012,450000,98000,1,1,1,1,7,88.8,1,20.77,1248
3,2014,250000,60000,3,1,1,0,5,55.2,1,21.1,814
3,2010,165000,80000,3,1,1,4,5,78.9,1,20.36,1197
7,2017,525000,19723,3,0,0,0,5,84.0,1,20.3,1199
3,2017,675000,25471,1,0,1,0,5,90.0,1,21.9,1396
5,2016,400000,74381,3,0,1,0,5,67.05,1,21.79,998
1,2017,850000,63982,1,0,1,0,5,89.84,1,22.7,1498
3,2012,270000,56000,3,1,1,0,5,78.9,1,20.36,1197
3,2019,434999,19500,3,0,1,0,5,68.07,1,20.3,1086
3,2016,575000,53000,1,0,1,0,5,88.73,1,22.54,1396
3,2017,600000,5000,3,1,1,0,5,81.86,1,20.14,1197
8,2013,270000,52380,1,0,1,0,5,67.04,1,23.59,1364
4,2018,660000,74250,1,0,1,0,7,74.96,1,21.0,1498
5,2017,490000,57247,3,0,0,0,5,81.8,1,20.89,1197
5,2010,125000,120000,3,1,1,4,5,46.3,1,19.7,796
5,2015,335000,30000,3,1,1,0,5,67.04,1,20.51,998
9,2012,229999,70000,1,1,1,1,5,73.9,1,22.07,1199
3,2017,731000,40000,1,1,1,0,5,88.73,1,22.54,1396
3,2012,395000,120000,1,1,1,0,5,126.32,1,22.32,1582
3,2014,220000,50000,3,1,1,4,5,55.2,1,21.1,814
1,2013,240000,100000,1,1,1,0,5,68.1,1,20.0,1399
3,2010,215000,120000,1,1,1,4,5,90.0,1,23.0,1396
5,2012,400000,90000,1,1,1,2,5,74.0,1,22.9,1248
7,2015,250000,20000,3,1,0,0,4,37.48,1,21.9,624
3,2019,850000,10000,1,1,1,0,5,88.76,1,22.54,1396
5,2012,250000,90000,3,1,1,0,5,67.1,1,20.92,998
3,2016,651000,42323,1,0,1,0,5,88.76,1,21.19,1396
5,2018,480000,20375,3,0,1,0,5,81.8,1,20.89,1197
4,2015,445000,40200,1,0,1,0,7,74.96,1,21.0,1498
5,2014,560000,90000,1,1,1,0,7,88.8,1,20.77,1248
1,2013,475000,48000,1,0,1,2,5,98.96,1,21.7,1498
5,2017,520000,28832,1,0,1,0,5,74.0,1,23.4,1248
3,2009,229999,50000,3,1,1,2,5,68.05,1,19.81,1086
5,2011,250000,60000,1,1,1,2,5,73.9,1,21.1,1248
1,2010,144000,50000,1,1,1,2,5,68.0,1,20.0,1399
0,2014,260000,38000,1,1,1,0,5,74.0,1,22.1,1248
8,2015,475000,120000,1,1,1,0,5,67.05,1,23.59,1364
1,2011,302000,103000,1,1,1,4,5,68.0,1,20.0,1399
5,2015,700000,50000,1,1,1,0,7,88.76,1,20.77,1248
7,2017,869999,70000,1,1,1,0,5,108.5,1,21.5,1497
3,2018,850000,60000,1,1,1,0,5,88.76,1,22.54,1396
5,2006,160000,90000,3,1,1,0,5,46.3,1,19.7,796
3,2015,310000,50000,3,1,1,0,5,68.05,1,19.81,1086
5,2015,405000,68000,3,1,1,2,5,81.8,1,20.4,1197
3,2007,135000,100000,3,1,1,2,5,68.05,1,19.81,1086
5,2018,400000,17500,3,1,1,0,5,67.04,1,20.51,998
5,2016,350000,25000,3,1,1,0,5,67.04,1,20.51,998
5,2012,185000,60000,3,1,1,2,5,46.3,1,19.7,796
9,2013,550000,38000,1,1,1,0,5,73.9,1,22.07,1199
2,2016,900000,92000,1,1,1,0,7,98.6,1,21.9,1498
5,2018,625000,10000,3,1,1,0,5,83.1,1,21.4,1197
3,2012,290000,100000,1,1,1,2,5,90.0,1,21.9,1396
5,2015,280000,28000,3,1,1,2,5,47.3,1,22.74,796
6,2017,650000,120000,1,1,1,0,5,83.8,1,19.87,1461
5,2014,650000,50000,1,1,1,0,5,74.0,1,23.4,1248
5,2015,650000,26000,3,1,1,0,5,91.1,1,20.73,1373
5,2019,700000,20000,3,1,0,0,5,81.8,1,22.0,1197
